PILOTO,EQUIPO,PUNTOS_TOTALES,CARRERA,PUNTOS
A. Anagnostiadis,Hitech TGR,5,Arabia_R1,0
A. Anagnostiadis,Hitech TGR,5,Arabia_R2,0
A. Anagnostiadis,Hitech TGR,5,Canada_R1,4
A. Anagnostiadis,Hitech TGR,5,Canada_R2,0
A. Anagnostiadis,Hitech TGR,5,Canada_R3,0
A. Anagnostiadis,Hitech TGR,5,China_R1,1
A. Anagnostiadis,Hitech TGR,5,China_R2,0
A. Anagnostiadis,Hitech TGR,5,Miami_R1,0
A. Anagnostiadis,Hitech TGR,5,Miami_R2,0
A. Anagnostiadis,Hitech TGR,5,PaisesBajos_R1,0
A. Anagnostiadis,Hitech TGR,5,PaisesBajos_R2,0
A. Anagnostiadis,Hitech TGR,5,Singapur_R1,0
A. Anagnostiadis,Hitech TGR,5,Singapur_R2,0
A. Dobson (WCD),Hitech TGR,0,Arabia_R1,0
A. Dobson (WCD),Hitech TGR,0,Arabia_R2,0
A. Dobson (WCD),Hitech TGR,0,Canada_R1,0
A. Dobson (WCD),Hitech TGR,0,Canada_R2,0
A. Dobson (WCD),Hitech TGR,0,Canada_R3,0
A. Dobson (WCD),Hitech TGR,0,China_R1,0
A. Dobson (WCD),Hitech TGR,0,China_R2,0
A. Dobson (WCD),Hitech TGR,0,Miami_R1,0
A. Dobson (WCD),Hitech TGR,0,Miami_R2,0
A. Dobson (WCD),Hitech TGR,0,PaisesBajos_R1,0
A. Dobson (WCD),Hitech TGR,0,PaisesBajos_R2,0
A. Dobson (WCD),Hitech TGR,0,Singapur_R1,0
A. Dobson (WCD),Hitech TGR,0,Singapur_R2,0
A. Larsen,MP Motorsport,58,Arabia_R1,4
A. Larsen,MP Motorsport,58,Arabia_R2,10
A. Larsen,MP Motorsport,58,Canada_R1,10
A. Larsen,MP Motorsport,58,Canada_R2,4
A. Larsen,MP Motorsport,58,Canada_R3,4
A. Larsen,MP Motorsport,58,China_R1,2
