TECNOLOGÍA,POTENCIA INSTALADA (MW),PROVINCIA,REGION
BIOGAS,2.0,CÓRDOBA,Pampeana
BIOGAS,1.2,CÓRDOBA,Pampeana
BIOGAS,1.5,SAN LUIS,Cuyo
BIOGAS,1.42,SANTA FE,Pampeana
BIOMASA,15.0,CORRIENTES,NEA
BIOMASA,3.2,MISIONES,NEA
EOLICA,97.2,SANTA CRUZ,Patagonia
EOLICA,51.75,BUENOS AIRES,Pampeana
EOLICA,28.8,CHUBUT,Patagonia
EOLICA,10.0,BUENOS AIRES,Pampeana
EOLICA,50.0,BUENOS AIRES,Pampeana
EOLICA,24.15,CHUBUT,Patagonia
EOLICA,24.0,CHUBUT,Patagonia
EOLICA,100.8,BUENOS AIRES,Pampeana
EOLICA,100.0,BUENOS AIRES,Pampeana
EOLICA,99.75,LA RIOJA,Cuyo
HIDRAULICA,1.2,MENDOZA,Cuyo
HIDRAULICA,1.2,MENDOZA,Cuyo
HIDRAULICA,1.7,MENDOZA,Cuyo
HIDRAULICA,0.51,MENDOZA,Cuyo
HIDRAULICA,7.2,RÍO NEGRO,Patagonia
SOLAR,100.0,SALTA,NOA
SOLAR,100.0,JUJUY,NOA
SOLAR,100.0,JUJUY,NOA
SOLAR,100.0,JUJUY,NOA
EOLICA,101.4,RÍO NEGRO,Patagonia
EOLICA,39.6,LA PAMPA,Pampeana
EOLICA,100.8,SANTA CRUZ,Patagonia
EOLICA,102.4,CHUBUT,Patagonia
EOLICA,98.6,BUENOS AIRES,Pampeana
EOLICA,48.0,CÓRDOBA,Pampeana
EOLICA,37.95,BUENOS AIRES,Pampeana
SOLAR,1.15,MENDOZA,Cuyo
SOLAR,80.0,SALTA,NOA
SOLAR,35.0,LA RIOJA,Cuyo
SOLAR,11.0,CATAMARCA,NOA
SOLAR,15.0,CATAMARCA,NOA
SOLAR,22.5,CATAMARCA,NOA
SOLAR,32.0,SAN JUAN,Cuyo
SOLAR,24.75,SAN LUIS,Cuyo
SOLAR,13.5,SAN JUAN,Cuyo
SOLAR,22.0,SAN LUIS,Cuyo
SOLAR,25.0,SAN JUAN,Cuyo
SOLAR,25.0,SAN JUAN,Cuyo
SOLAR,80.0,SAN JUAN,Cuyo
SOLAR,1.7,SAN JUAN,Cuyo
EOLICA,50.4,CHUBUT,Patagonia
EOLICA,71.1,CHUBUT,Patagonia
EOLICA,151.2,CHUBUT,Patagonia
EOLICA,51.2,CHUBUT,Patagonia
EOLICA,51.2,CHUBUT,Patagonia
EOLICA,51.2,CHUBUT,Patagonia
SOLAR,5.0,SAN LUIS,Cuyo
SOLAR,5.0,SAN LUIS,Cuyo
BIOGAS,1.5,BUENOS AIRES,Pampeana
BIOGAS,2.4,CÓRDOBA,Pampeana
BIOGAS,1.0,BUENOS AIRES,Pampeana
BIOGAS,2.0,LA PAMPA,Pampeana
BIOGAS,0.8,BUENOS AIRES,Pampeana
BIOGAS,2.0,CÓRDOBA,Pampeana
