tecnologia,potencia_instalada_mw,provincia,region
BIOGAS,2.0,CÓRDOBA,PAMPEANA
BIOGAS,1.2,CÓRDOBA,PAMPEANA
BIOGAS,1.5,SAN LUIS,CUYO
BIOGAS,1.42,SANTA FE,PAMPEANA
BIOMASA,15.0,CORRIENTES,NEA
BIOMASA,3.2,MISIONES,NEA
EOLICA,97.2,SANTA CRUZ,PATAGONIA
EOLICA,51.75,BUENOS AIRES,PAMPEANA
EOLICA,28.8,CHUBUT,PATAGONIA
EOLICA,10.0,BUENOS AIRES,PAMPEANA
EOLICA,50.0,BUENOS AIRES,PAMPEANA
EOLICA,24.15,CHUBUT,PATAGONIA
EOLICA,24.0,CHUBUT,PATAGONIA
EOLICA,100.8,BUENOS AIRES,PAMPEANA
EOLICA,100.0,BUENOS AIRES,PAMPEANA
EOLICA,99.75,LA RIOJA,CUYO
HIDRAULICA,1.2,MENDOZA,CUYO
HIDRAULICA,1.2,MENDOZA,CUYO
HIDRAULICA,1.7,MENDOZA,CUYO
HIDRAULICA,0.51,MENDOZA,CUYO
HIDRAULICA,7.2,RÍO NEGRO,PATAGONIA
SOLAR,100.0,SALTA,NOA
SOLAR,100.0,JUJUY,NOA
SOLAR,100.0,JUJUY,NOA
SOLAR,100.0,JUJUY,NOA
EOLICA,101.4,RÍO NEGRO,PATAGONIA
EOLICA,39.6,LA PAMPA,PAMPEANA
EOLICA,100.8,SANTA CRUZ,PATAGONIA
EOLICA,102.4,CHUBUT,PATAGONIA
EOLICA,98.6,BUENOS AIRES,PAMPEANA
EOLICA,48.0,CÓRDOBA,PAMPEANA
EOLICA,37.95,BUENOS AIRES,PAMPEANA
SOLAR,1.15,MENDOZA,CUYO
SOLAR,80.0,SALTA,NOA
SOLAR,35.0,LA RIOJA,CUYO
SOLAR,11.0,CATAMARCA,NOA
SOLAR,15.0,CATAMARCA,NOA
SOLAR,22.5,CATAMARCA,NOA
SOLAR,32.0,SAN JUAN,CUYO
SOLAR,24.75,SAN LUIS,CUYO
SOLAR,13.5,SAN JUAN,CUYO
SOLAR,22.0,SAN LUIS,CUYO
SOLAR,25.0,SAN JUAN,CUYO
SOLAR,25.0,SAN JUAN,CUYO
SOLAR,80.0,SAN JUAN,CUYO
SOLAR,1.7,SAN JUAN,CUYO
EOLICA,50.4,CHUBUT,PATAGONIA
EOLICA,71.1,CHUBUT,PATAGONIA
EOLICA,151.2,CHUBUT,PATAGONIA
EOLICA,51.2,CHUBUT,PATAGONIA
EOLICA,51.2,CHUBUT,PATAGONIA
EOLICA,51.2,CHUBUT,PATAGONIA
SOLAR,5.0,SAN LUIS,CUYO
SOLAR,5.0,SAN LUIS,CUYO
BIOGAS,1.5,BUENOS AIRES,PAMPEANA
BIOGAS,2.4,CÓRDOBA,PAMPEANA
BIOGAS,1.0,BUENOS AIRES,PAMPEANA
BIOGAS,2.0,LA PAMPA,PAMPEANA
BIOGAS,0.8,BUENOS AIRES,PAMPEANA
